"Date";"Open";"High";"Low";"Close";"Change, %"
"2010-03-05";"12.7065";"12.723";"12.6175";"12.6313";"-0.60"
"2010-03-08";"12.6458";"12.6925";"12.5955";"12.6855";"+0.43"
"2010-03-09";"12.6825";"12.7038";"12.6097";"12.622";"-0.50"
"2010-03-10";"12.6227";"12.646";"12.5855";"12.595";"-0.21"
"2010-03-11";"12.5951";"12.6415";"12.5605";"12.5645";"-0.24"
"2010-03-12";"12.557";"12.5854";"12.5226";"12.5388";"-0.20"
"2010-03-15";"12.518";"12.5834";"12.513";"12.5435";"+0.04"
"2010-03-16";"12.5468";"12.5581";"12.5121";"12.5224";"-0.17"
"2010-03-17";"12.5182";"12.529";"12.4314";"12.455";"-0.54"
"2010-03-18";"12.456";"12.538";"12.4251";"12.5212";"+0.53"
"2010-03-19";"12.5093";"12.6097";"12.4886";"12.587";"+0.53"
"2010-03-22";"12.5223";"12.7009";"12.5223";"12.531";"-0.44"
"2010-03-23";"12.5332";"12.562";"12.472";"12.483";"-0.38"
"2010-03-24";"12.4792";"12.5952";"12.4735";"12.5855";"+0.82"
"2010-03-25";"12.5782";"12.5902";"12.4749";"12.5581";"-0.22"
"2010-03-26";"12.552";"12.5603";"12.4808";"12.4945";"-0.51"
"2010-03-29";"12.4778";"12.4995";"12.4065";"12.446";"-0.39"
"2010-03-30";"12.4345";"12.437";"12.351";"12.3705";"-0.61"
"2010-03-31";"12.3582";"12.385";"12.29";"12.3777";"+0.06"
"2010-04-01";"12.3897";"12.4027";"12.3006";"12.31";"-0.55"
"2010-04-02";"12.3166";"12.349";"12.3003";"12.3135";"+0.03"
"2010-04-05";"12.276";"12.3015";"12.2185";"12.2355";"-0.63"
"2010-04-06";"12.2202";"12.2864";"12.21";"12.218";"-0.14"
"2010-04-07";"12.2166";"12.3299";"12.205";"12.2955";"+0.63"
"2010-04-08";"12.3007";"12.3387";"12.207";"12.2146";"-0.66"
"2010-04-09";"12.2084";"12.2445";"12.1795";"12.1795";"-0.29"
"2010-04-12";"12.193";"12.2307";"12.1462";"12.1588";"-0.17"
"2010-04-13";"12.1424";"12.2401";"12.1414";"12.1854";"+0.22"
"2010-04-14";"12.1832";"12.2227";"12.1445";"12.2005";"+0.12"
"2010-04-15";"12.1867";"12.2715";"12.153";"12.1687";"-0.26"
"2010-04-16";"12.1667";"12.3322";"12.1418";"12.2795";"+0.91"
"2010-04-19";"12.2708";"12.3596";"12.2302";"12.238";"-0.34"
"2010-04-20";"12.2452";"12.2605";"12.1987";"12.2225";"-0.13"
"2010-04-21";"12.2278";"12.2308";"12.1595";"12.1775";"-0.37"
"2010-04-22";"12.179";"12.2814";"12.1645";"12.209";"+0.26"
"2010-04-23";"12.205";"12.2418";"12.1703";"12.1813";"-0.23"
"2010-04-26";"12.1768";"12.195";"12.129";"12.1522";"-0.24"
"2010-04-27";"12.1506";"12.3995";"12.1375";"12.3775";"+1.85"
"2010-04-28";"12.382";"12.4632";"12.2804";"12.3375";"-0.32"
"2010-04-29";"12.3432";"12.3705";"12.177";"12.1985";"-1.13"
"2010-04-30";"12.191";"12.317";"12.163";"12.305";"+0.87"
"2010-05-03";"12.2787";"12.3215";"12.228";"12.2625";"-0.35"
"2010-05-04";"12.2572";"12.5529";"12.2465";"12.5399";"+2.26"
"2010-05-05";"12.544";"12.765";"12.4929";"12.755";"+1.72"
"2010-05-06";"12.7398";"13.3148";"12.671";"13.0338";"+2.19"
"2010-05-07";"12.9985";"13.1165";"12.769";"12.8602";"-1.33"
"2010-05-10";"12.725";"12.7922";"12.45";"12.474";"-3.00"
"2010-05-11";"12.4713";"12.5961";"12.4452";"12.5188";"+0.36"
"2010-05-12";"12.5095";"12.5673";"12.347";"12.3575";"-1.29"
"2010-05-13";"12.3545";"12.4413";"12.324";"12.4275";"+0.57"
"2010-05-14";"12.4137";"12.6615";"12.3938";"12.605";"+1.43"
"2010-05-17";"12.5928";"12.854";"12.5556";"12.584";"-0.17"
"2010-05-18";"12.576";"12.7944";"12.5084";"12.768";"+1.46"
"2010-05-19";"12.7825";"12.9819";"12.716";"12.8251";"+0.45"
"2010-05-20";"12.8283";"13.2286";"12.7775";"13.145";"+2.49"
"2010-05-21";"13.152";"13.2058";"12.929";"12.9505";"-1.48"
"2010-05-24";"12.9315";"13.0658";"12.8685";"13.0262";"+0.58"
"2010-05-25";"13.014";"13.3842";"12.9817";"12.9989";"-0.21"
"2010-05-26";"13.0115";"13.1455";"12.9297";"13.1375";"+1.07"
"2010-05-27";"13.1145";"13.128";"12.7775";"12.815";"-2.45"
"2010-05-28";"12.8255";"12.975";"12.7592";"12.9625";"+1.15"
